taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
2125995,Globisporangium_paroecandrum,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Pythiales__O+,o__Pythiales,f__Pythiaceae,g__Globisporangium,s__Globisporangium_paroecandrum
1259849,Nannochloropsis_granulata_CCMP529,d__Eukaryota,k__Eustigmatophyceae__C+,p__Eustigmatophyceae__C+,c__Eustigmatophyceae,o__Eustigmatales,f__Monodopsidaceae,g__Nannochloropsis,s__Nannochloropsis_granulata
5974,Halteria_grandinella,d__Eukaryota,k__Ciliophora__P+,p__Ciliophora,c__Spirotrichea,o__Sporadotrichida,f__Halteriidae,g__Halteria,s__Halteria_grandinella
1130820,Toxoplasma_gondii_GAB2_2007_GAL_DOM2,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Conoidasida,o__Eucoccidiorida,f__Sarcocystidae,g__Toxoplasma,s__Toxoplasma_gondii
142831,Coremiostelium_polycephalum,d__Eukaryota,k__Evosea__P+,p__Evosea,c__Eumycetozoa,o__Dictyosteliales,f__Coremiostelium__G+,g__Coremiostelium,s__Coremiostelium_polycephalum
1245014,Plasmodium_falciparum_309_1,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_falciparum
94643,Besnoitia_besnoiti,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Conoidasida,o__Eucoccidiorida,f__Sarcocystidae,g__Besnoitia,s__Besnoitia_besnoiti
5893,Tetrahymena_borealis,d__Eukaryota,k__Ciliophora__P+,p__Ciliophora,c__Oligohymenophorea,o__Hymenostomatida,f__Tetrahymenidae,g__Tetrahymena,s__Tetrahymena_borealis
1237626,Plasmodium_inui_San_Antonio_1,d__Eukaryota,k__Apicomplexa__P+,p__Apicomplexa,c__Aconoidasida,o__Haemosporida,f__Plasmodiidae,g__Plasmodium,s__Plasmodium_inui
1775427,Amoebophrya_sp_AT5_2,d__Eukaryota,k__Dinophyceae__C+,p__Dinophyceae__C+,c__Dinophyceae,o__Syndiniales,f__Amoebophryaceae,g__Amoebophrya,s__Amoebophrya_sp_AT5_2
32600,Acanthamoeba_royreba,d__Eukaryota,k__Discosea__P+,p__Discosea,c__Longamoebia__O+,o__Longamoebia,f__Acanthamoebidae,g__Acanthamoeba,s__Acanthamoeba_royreba
1008807,Acrasis_kona,d__Eukaryota,k__Heterolobosea__P+,p__Heterolobosea,c__Acrasidae__F+,o__Acrasidae__F+,f__Acrasidae,g__Acrasis,s__Acrasis_kona
74557,Thraustotheca_clavata,d__Eukaryota,k__Oomycota__P+,p__Oomycota,c__Saprolegniales__O+,o__Saprolegniales,f__Saprolegniaceae,g__Thraustotheca,s__Thraustotheca_clavata
1544353,Blastocystis_sp_subtype_9,d__Eukaryota,k__Bigyra__C+,p__Bigyra__C+,c__Bigyra,o__Opalinata,f__Blastocystidae,g__Blastocystis,s__Blastocystis_sp_subtype_9
