taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
502115,Methanolobus_chelungpuianus,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanolobus,s__Methanolobus_chelungpuianus
2056630,Candidatus_Korarchaeota_archaeon,d__Archaea,k__Archaea,p__Candidatus_Korarchaeota,c__Candidatus_Korarchaeota_archaeon__S+,o__Candidatus_Korarchaeota_archaeon__S+,f__Candidatus_Korarchaeota_archaeon__S+,g__Candidatus_Korarchaeota_archaeon__S+,s__Candidatus_Korarchaeota_archaeon
985052,Vulcanisaeta_moutnovskia,d__Archaea,k__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Thermoproteales,f__Thermoproteaceae,g__Vulcanisaeta,s__Vulcanisaeta_moutnovskia
1801882,Candidatus_Pacearchaeota_archaeon_RBG_16_35_8,d__Archaea,k__Archaea,p__Candidatus_Pacearchaeota_archaeon_RBG_16_35_8__S+,c__Candidatus_Pacearchaeota_archaeon_RBG_16_35_8__S+,o__Candidatus_Pacearchaeota_archaeon_RBG_16_35_8__S+,f__Candidatus_Pacearchaeota_archaeon_RBG_16_35_8__S+,g__Candidatus_Pacearchaeota_archaeon_RBG_16_35_8__S+,s__Candidatus_Pacearchaeota_archaeon_RBG_16_35_8
301375,Methanothrix_harundinacea,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix,s__Methanothrix_harundinacea
2614263,DHVE2_group_archaeon,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__DHVE2_group_archaeon__S+,o__DHVE2_group_archaeon__S+,f__DHVE2_group_archaeon__S+,g__DHVE2_group_archaeon__S+,s__DHVE2_group_archaeon
2163009,Candidatus_Poseidoniales_archaeon,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Candidatus_Poseidoniia,o__Candidatus_Poseidoniales,f__Candidatus_Poseidoniales_archaeon__S+,g__Candidatus_Poseidoniales_archaeon__S+,s__Candidatus_Poseidoniales_archaeon
1915575,Methanosarcina_sp_UBA293,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina_sp_UBA293
2213,Methanosarcina_sp,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina_sp
1915444,Methanobacterium_sp_UBA350,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium,s__Methanobacterium_sp_UBA350
1906667,Methanomassiliicoccales_archaeon,d__Archaea,k__Archaea,p__Candidatus_Thermoplasmatota,c__Thermoplasmata,o__Methanomassiliicoccales,f__Methanomassiliicoccales_archaeon__S+,g__Methanomassiliicoccales_archaeon__S+,s__Methanomassiliicoccales_archaeon
1805007,archaeon_13_1_20CM_2_51_12,d__Archaea,k__Archaea,p__archaeon_13_1_20CM_2_51_12__S+,c__archaeon_13_1_20CM_2_51_12__S+,o__archaeon_13_1_20CM_2_51_12__S+,f__archaeon_13_1_20CM_2_51_12__S+,g__archaeon_13_1_20CM_2_51_12__S+,s__archaeon_13_1_20CM_2_51_12
54077,Thermococcus_barossii,d__Archaea,k__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus_barossii
1915555,Methanosaeta_sp_UBA114,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix,s__Methanosaeta_sp_UBA114
1729461,Natrialbaceae_archaeon_Tc_Br11_E2g1,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Natrialbales,f__Natrialbaceae,g__Natrialbaceae_archaeon_Tc_Br11_E2g1__S+,s__Natrialbaceae_archaeon_Tc_Br11_E2g1
2485838,Halorubrum_sp_CSM_61,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Halorubraceae,g__Halorubrum,s__Halorubrum_sp_CSM_61
1934989,Archaeoglobus_sp_JdFR_32,d__Archaea,k__Archaea,p__Euryarchaeota,c__Archaeoglobi,o__Archaeoglobales,f__Archaeoglobaceae,g__Archaeoglobus,s__Archaeoglobus_sp_JdFR_32
