"generation"	"mean"	"se"	"Group"
260000	0.0002108379	5.130192e-06	"MDH+25%ANG"
270000	0.0002144523	5.379355e-06	"MDH+25%ANG"
280000	0.0002177828	5.875122e-06	"MDH+25%ANG"
290000	0.0002209491	6.987329e-06	"MDH+25%ANG"
30000	5.3147e-05	8.831244e-07	"MDH+25%ANG"
3e+05	0.0002243461	7.020911e-06	"MDH+25%ANG"
310000	0.0002276642	7.883057e-06	"MDH+25%ANG"
320000	0.0002315702	7.794493e-06	"MDH+25%ANG"
330000	0.0002348886	8.086716e-06	"MDH+25%ANG"
340000	0.0002377759	7.302856e-06	"MDH+25%ANG"
350000	0.0002410175	8.112802e-06	"MDH+25%ANG"
360000	0.0002432638	8.89317e-06	"MDH+25%ANG"
370000	0.0002457241	8.905543e-06	"MDH+25%ANG"
380000	0.0002478933	9.486025e-06	"MDH+25%ANG"
390000	0.0002505624	1.026573e-05	"MDH+25%ANG"
40000	6.606015e-05	1.066715e-06	"MDH+25%ANG"
4e+05	0.0002531025	1.011627e-05	"MDH+25%ANG"
410000	0.0002560429	1.087307e-05	"MDH+25%ANG"
420000	0.0002576481	1.084137e-05	"MDH+25%ANG"
430000	0.0002596119	1.18115e-05	"MDH+25%ANG"
440000	0.0002622282	1.274262e-05	"MDH+25%ANG"
450000	0.0002657092	1.260947e-05	"MDH+25%ANG"
460000	0.000267403	1.343168e-05	"MDH+25%ANG"
470000	0.0002705235	1.392638e-05	"MDH+25%ANG"
480000	0.0002715791	1.394488e-05	"MDH+25%ANG"
490000	0.0002735034	1.404071e-05	"MDH+25%ANG"
50000	7.849042e-05	1.232893e-06	"MDH+25%ANG"
5e+05	0.0002757994	1.31173e-05	"MDH+25%ANG"
510000	0.0002790413	1.33118e-05	"MDH+25%ANG"
520000	0.0002809813	1.265283e-05	"MDH+25%ANG"
530000	0.0002818861	1.236442e-05	"MDH+25%ANG"
540000	0.0002839477	1.318432e-05	"MDH+25%ANG"
550000	0.0002863979	1.304613e-05	"MDH+25%ANG"
560000	0.0002882824	1.417591e-05	"MDH+25%ANG"
570000	0.0002890856	1.255311e-05	"MDH+25%ANG"
580000	0.0002913502	1.196639e-05	"MDH+25%ANG"
590000	0.0002924455	1.277401e-05	"MDH+25%ANG"
60000	8.916371e-05	1.481256e-06	"MDH+25%ANG"
6e+05	0.0002936951	1.094565e-05	"MDH+25%ANG"
610000	0.0002954427	1.070902e-05	"MDH+25%ANG"
620000	0.0002976052	9.996671e-06	"MDH+25%ANG"
630000	0.0002982228	1.065332e-05	"MDH+25%ANG"
640000	0.0002970394	1.028753e-05	"MDH+25%ANG"
650000	0.0002983421	1.084846e-05	"MDH+25%ANG"
660000	0.0002999464	1.267285e-05	"MDH+25%ANG"
670000	0.0002995353	1.575425e-05	"MDH+25%ANG"
680000	0.0003008329	1.4753e-05	"MDH+25%ANG"
690000	0.0003006266	1.486827e-05	"MDH+25%ANG"
70000	9.919847e-05	1.715901e-06	"MDH+25%ANG"
7e+05	0.0003026907	1.446043e-05	"MDH+25%ANG"
710000	0.0003060532	1.461749e-05	"MDH+25%ANG"
720000	0.0003077992	1.498481e-05	"MDH+25%ANG"
730000	0.0003095542	1.188635e-05	"MDH+25%ANG"
740000	0.0003095407	1.493166e-05	"MDH+25%ANG"
750000	0.0003111867	1.50242e-05	"MDH+25%ANG"
760000	0.0003102124	1.766246e-05	"MDH+25%ANG"
770000	0.0003089525	1.707045e-05	"MDH+25%ANG"
780000	0.0003074332	2.130381e-05	"MDH+25%ANG"
790000	0.0003067242	2.2626e-05	"MDH+25%ANG"
80000	0.0001082892	2.255543e-06	"MDH+25%ANG"
8e+05	0.0003087478	2.150377e-05	"MDH+25%ANG"
810000	0.0003094303	2.31442e-05	"MDH+25%ANG"
820000	0.0003095813	2.420417e-05	"MDH+25%ANG"
830000	0.0003088724	2.477516e-05	"MDH+25%ANG"
840000	0.0003055935	2.724749e-05	"MDH+25%ANG"
850000	0.0003061386	2.920987e-05	"MDH+25%ANG"
860000	0.0003060667	2.895087e-05	"MDH+25%ANG"
870000	0.0003078949	2.981353e-05	"MDH+25%ANG"
880000	0.0003058906	2.776994e-05	"MDH+25%ANG"
890000	0.0003085978	2.928018e-05	"MDH+25%ANG"
90000	0.0001170789	1.697691e-06	"MDH+25%ANG"
9e+05	0.0003114074	3.1769e-05	"MDH+25%ANG"
910000	0.0003118775	3.139738e-05	"MDH+25%ANG"
920000	0.0003130495	2.933169e-05	"MDH+25%ANG"
930000	0.0003158744	3.045108e-05	"MDH+25%ANG"
940000	0.0003163463	2.938317e-05	"MDH+25%ANG"
950000	0.0003142774	2.990201e-05	"MDH+25%ANG"
960000	0.0003148292	2.95938e-05	"MDH+25%ANG"
970000	0.0003127678	2.789591e-05	"MDH+25%ANG"
980000	0.0003117938	2.69337e-05	"MDH+25%ANG"
990000	0.0003111754	2.554611e-05	"MDH+25%ANG"
10000	2.641096e-05	6.589938e-07	"MDH+100%ANG"
1e+05	0.0001763068	2.028033e-06	"MDH+100%ANG"
1e+06	0.0004789753	4.224732e-05	"MDH+100%ANG"
110000	0.0001872782	3.320321e-06	"MDH+100%ANG"
120000	0.0001976291	4.521131e-06	"MDH+100%ANG"
130000	0.0002083458	4.03312e-06	"MDH+100%ANG"
140000	0.0002175807	3.469478e-06	"MDH+100%ANG"
150000	0.000228566	3.879617e-06	"MDH+100%ANG"
160000	0.0002370699	5.164983e-06	"MDH+100%ANG"
170000	0.000246128	5.588194e-06	"MDH+100%ANG"
180000	0.0002540848	6.303704e-06	"MDH+100%ANG"
190000	0.0002639901	5.865693e-06	"MDH+100%ANG"
20000	4.938865e-05	1.428081e-06	"MDH+100%ANG"
2e+05	0.0002727468	5.50506e-06	"MDH+100%ANG"
210000	0.0002788712	5.776861e-06	"MDH+100%ANG"
220000	0.0002855391	4.603511e-06	"MDH+100%ANG"
230000	0.0002951093	6.14148e-06	"MDH+100%ANG"
240000	0.0002996369	8.671099e-06	"MDH+100%ANG"
250000	0.0003047899	8.657399e-06	"MDH+100%ANG"
260000	0.0003127013	1.269687e-05	"MDH+100%ANG"
270000	0.0003159365	1.412646e-05	"MDH+100%ANG"
280000	0.0003211377	1.645299e-05	"MDH+100%ANG"
290000	0.0003248701	1.941558e-05	"MDH+100%ANG"
30000	6.921952e-05	1.469043e-06	"MDH+100%ANG"
3e+05	0.0003314287	1.740526e-05	"MDH+100%ANG"
310000	0.0003401251	1.212586e-05	"MDH+100%ANG"
320000	0.000349537	1.190294e-05	"MDH+100%ANG"
330000	0.0003546364	1.122949e-05	"MDH+100%ANG"
340000	0.0003616885	1.119673e-05	"MDH+100%ANG"
350000	0.0003659588	1.042007e-05	"MDH+100%ANG"
360000	0.0003706959	1.260595e-05	"MDH+100%ANG"
370000	0.0003804578	1.057485e-05	"MDH+100%ANG"
380000	0.0003815892	1.396909e-05	"MDH+100%ANG"
390000	0.0003854079	1.526601e-05	"MDH+100%ANG"
40000	8.734729e-05	2.208222e-06	"MDH+100%ANG"
4e+05	0.0003932775	1.621895e-05	"MDH+100%ANG"
410000	0.0003957776	2.095256e-05	"MDH+100%ANG"
420000	0.000402496	1.865136e-05	"MDH+100%ANG"
430000	0.0004045761	2.179399e-05	"MDH+100%ANG"
440000	0.0004102409	2.123194e-05	"MDH+100%ANG"
450000	0.0004121876	2.3281e-05	"MDH+100%ANG"
460000	0.0004186998	2.239455e-05	"MDH+100%ANG"
470000	0.0004187746	2.597294e-05	"MDH+100%ANG"
480000	0.0004226544	2.348132e-05	"MDH+100%ANG"
490000	0.0004288402	2.423556e-05	"MDH+100%ANG"
50000	0.0001048666	2.417617e-06	"MDH+100%ANG"
5e+05	0.0004360213	2.032937e-05	"MDH+100%ANG"
510000	0.0004387226	2.482967e-05	"MDH+100%ANG"
520000	0.00044403	1.979043e-05	"MDH+100%ANG"
530000	0.0004465359	1.812487e-05	"MDH+100%ANG"
540000	0.0004530513	2.264662e-05	"MDH+100%ANG"
550000	0.0004524141	3.032664e-05	"MDH+100%ANG"
560000	0.0004522995	2.562533e-05	"MDH+100%ANG"
570000	0.000452789	2.597982e-05	"MDH+100%ANG"
580000	0.0004633601	2.046676e-05	"MDH+100%ANG"
590000	0.0004616539	2.42658e-05	"MDH+100%ANG"
60000	0.0001211259	3.213994e-06	"MDH+100%ANG"
6e+05	0.0004618593	2.824917e-05	"MDH+100%ANG"
610000	0.0004623831	2.191714e-05	"MDH+100%ANG"
620000	0.0004638475	2.047361e-05	"MDH+100%ANG"
630000	0.0004652583	2.930421e-05	"MDH+100%ANG"
640000	0.0004660411	2.310131e-05	"MDH+100%ANG"
650000	0.000477534	1.77893e-05	"MDH+100%ANG"
660000	0.000480986	1.690053e-05	"MDH+100%ANG"
670000	0.0004822145	2.069924e-05	"MDH+100%ANG"
680000	0.0004771421	2.447192e-05	"MDH+100%ANG"
690000	0.0004674804	2.967987e-05	"MDH+100%ANG"
70000	0.0001361142	3.755959e-06	"MDH+100%ANG"
7e+05	0.0004657607	3.674633e-05	"MDH+100%ANG"
710000	0.0004709862	3.881367e-05	"MDH+100%ANG"
720000	0.0004692515	3.707535e-05	"MDH+100%ANG"
730000	0.0004733849	3.593241e-05	"MDH+100%ANG"
740000	0.0004715639	3.799598e-05	"MDH+100%ANG"
750000	0.0004758792	3.966186e-05	"MDH+100%ANG"
760000	0.000481551	3.722274e-05	"MDH+100%ANG"
770000	0.000481433	2.990282e-05	"MDH+100%ANG"
780000	0.0004746923	3.575516e-05	"MDH+100%ANG"
790000	0.0004740018	3.604216e-05	"MDH+100%ANG"
80000	0.000150083	3.056106e-06	"MDH+100%ANG"
8e+05	0.0004650289	4.378377e-05	"MDH+100%ANG"
810000	0.0004591749	5.20849e-05	"MDH+100%ANG"
820000	0.000463193	4.856094e-05	"MDH+100%ANG"
830000	0.000467413	4.879054e-05	"MDH+100%ANG"
840000	0.0004731302	5.03585e-05	"MDH+100%ANG"
850000	0.0004752824	5.086668e-05	"MDH+100%ANG"
860000	0.0004751284	4.86594e-05	"MDH+100%ANG"
870000	0.0004709172	5.209204e-05	"MDH+100%ANG"
880000	0.0004670626	5.405115e-05	"MDH+100%ANG"
890000	0.0004678716	5.272764e-05	"MDH+100%ANG"
90000	0.000163407	2.722412e-06	"MDH+100%ANG"
9e+05	0.0004670314	5.098338e-05	"MDH+100%ANG"
910000	0.000468925	5.367205e-05	"MDH+100%ANG"
920000	0.0004731461	5.233565e-05	"MDH+100%ANG"
930000	0.0004706534	5.389885e-05	"MDH+100%ANG"
940000	0.0004707697	5.437872e-05	"MDH+100%ANG"
950000	0.0004745754	5.114635e-05	"MDH+100%ANG"
960000	0.0004812549	4.78218e-05	"MDH+100%ANG"
970000	0.0004824912	4.457062e-05	"MDH+100%ANG"
980000	0.0004865492	4.084041e-05	"MDH+100%ANG"
990000	0.0004797615	4.516968e-05	"MDH+100%ANG"
